country,department,pop,year
ec,tungurahua,570933,2017
ec,santo domingo,434849,2017
ec,el oro,689760,2017
ec,esmeraldas,617851,2017
ec,guayas,4207610,2017
ec,los rios,888351,2017
ec,manabi,1523950,2017
ec,santa elena,375646,2017
ec,morona santiago,183728,2017
ec,napo,125538,2017
ec,pastaza,105494,2017
ec,zamora chinchipe,112835,2017
ec,sucumbios,215499,2017
ec,orellana,155453,2017
ec,galapagos,30890,2017
ec,azuay,678746,2007
ec,bolivar,180293,2007
ec,canar,226021,2007
ec,carchi,166116,2007
ec,cotopaxi,400411,2007
ec,chimborazo,443522,2007
ec,imbabura,397704,2007
ec,loja,434020,2007
ec,pichincha,2683272,2007
ec,tungurahua,501437,2007
ec,santo domingo,322080,2007
ec,el oro,608032,2007
ec,esmeraldas,438576,2007
ec,guayas,3617504,2007
ec,los rios,742241,2007
ec,manabi,1314445,2007
ec,santa elena,121994,2007
ec,morona santiago,131337,2007
ec,napo,96029,2007
ec,pastaza,75782,2007
ec,zamora chinchipe,85571,2007
ec,sucumbios,163447,2007
ec,orellana,110782,2007
ec,galapagos,22678,2007
ec,azuay,599546,2001
ec,bolivar,169370,2001
ec,canar,206981,2001
ec,carchi,152939,2001
ec,chimborazo,403632,2001
ec,cotopaxi,349540,2001
ec,el oro,525763,2001
ec,esmeraldas,385223,2001
ec,galapagos,18640,2001
ec,guayas,3309034,2001
ec,imbabura,344044,2001
ec,loja,404835,2001
ec,los rios,650178,2001
ec,manabi,1186025,2001
ec,morona santiago,115412,2001
ec,napo,79139,2001
ec,orellana,86493,2001
ec,pastaza,61779,2001
ec,pichincha,2388817,2001
ec,santa elena,NA,2001
ec,santo domingo,NA,2001
ec,sucumbios,128995,2001
ec,tungurahua,441034,2001
ec,zamora chinchipe,76601,2001
